"STATION","NAME","DATE","PRCP","TMIN"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-05-11","0.00","39"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-05-12","0.00","35"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-05-13","0.10","45"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-05-14","0.00","35"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-05-15","0.00","41"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-05-16","0.00","41"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-05-17","0.00","61"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-05-18","0.05","68"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-05-19","0.36","65"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-05-20","0.00","53"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-05-21","0.00","46"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-05-22","0.00","49"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-05-23",,
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-05-24","0.40","52"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-05-25","0.20","52"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-05-26","0.00","54"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-05-27","0.00","52"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-05-28","0.00","55"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-05-29","0.00","48"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-05-30","0.00","53"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-05-31","0.00","48"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-06-01","0.02","54"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-06-02","0.00","48"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-06-03","0.00","45"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-06-04","0.00","51"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-06-05","0.00","60"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-06-06","0.17","69"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-06-07","0.00","63"
"USC00115097","LISLE MORTON ARBORETUM, IL US","2026-06-08","1.14","62"
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-01-05","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-01-07","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-01-08","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-01-09","1.60",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-01-10","0.19",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-01-11","0.02",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-01-12","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-01-13","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-01-14","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-01-15","0.02",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-01-17",,
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-01-18","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-01-19","0.03",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-01-20","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-01-21","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-01-22","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-01-23","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-01-24","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-01-25","0.24",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-01-26","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-01-27","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-01-28","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-01-29","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-01-30","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-02-02",,
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-02-03","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-02-04","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-02-05","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-02-06","0.03",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-02-07","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-02-08","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-02-09","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-02-10","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-02-11","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-02-12","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-02-13","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-02-14","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-02-15","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-02-16","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-02-17","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-02-18","0.14",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-02-19","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-02-20","0.01",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-02-21","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-02-22","0.02",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-02-23","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-02-24","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-02-25","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-02-26","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-02-27","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-02-28","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-03-01","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-03-02","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-03-03","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-03-04","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-03-05","0.08",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-03-06","0.04",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-03-07","0.91",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-03-08","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-03-09","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-03-10","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-03-11","0.69",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-03-12","0.14",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-03-13","0.03",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-03-14","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-03-15","0.02",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-03-16","1.51",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-03-17","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-03-18","0.02",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-03-19","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-03-20","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-03-21","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-03-22","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-03-23","0.01",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-03-24","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-03-25","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-03-26","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-03-27","0.72",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-03-28","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-03-29","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-03-30","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-04-10",,
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-04-12","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-04-13","0.15",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-04-14","0.11",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-04-15","0.08",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-04-16","0.37",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-04-17","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-04-18","0.46",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-04-19","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-04-20","0.04",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-04-21","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-04-22","0.04",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-04-23","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-04-24","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-04-25","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-04-26","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-04-27","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-04-28","0.83",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-04-29","0.02",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-04-30","0.01",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-05-01","0.14",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-05-02","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-05-03","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-05-04","0.05",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-05-05","0.37",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-05-06","0.08",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-05-07","0.01",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-05-08","0.06",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-05-09","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-05-10","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-05-11","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-05-12","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-05-13","0.04",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-05-14","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-05-15","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-05-16","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-05-17","0.04",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-05-18","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-05-19","0.22",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-05-20","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-05-21","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-05-22","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-05-23","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-05-24","0.59",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-05-25","0.12",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-05-26","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-05-27","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-05-28","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-05-29","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-05-30","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-05-31","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-06-01","0.06",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-06-02","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-06-04","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-06-05","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-06-06","0.12",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-06-07","0.00",
"US1ILCK0390","ALSIP 0.9 E, IL US","2026-06-08","0.34",
"US1ILCK0430","WORTH 0.3 S, IL US","2026-01-01","0.03",
"US1ILCK0430","WORTH 0.3 S, IL US","2026-01-02","0.00",
"US1ILCK0430","WORTH 0.3 S, IL US","2026-01-03","0.00",
"US1ILCK0430","WORTH 0.3 S, IL US","2026-01-04","0.00",
"US1ILCK0430","WORTH 0.3 S, IL US","2026-01-05","0.00",
"US1ILCK0430","WORTH 0.3 S, IL US","2026-01-06","0.00",
"US1ILCK0430","WORTH 0.3 S, IL US","2026-01-07","0.00",
"US1ILCK0430","WORTH 0.3 S, IL US","2026-01-08","0.00",
"US1ILCK0430","WORTH 0.3 S, IL US","2026-01-09","2.17",
"US1ILCK0430","WORTH 0.3 S, IL US","2026-01-10","0.08",
"US1ILCK0430","WORTH 0.3 S, IL US","2026-01-11","0.12",
"US1ILCK0430","WORTH 0.3 S, IL US","2026-01-12","0.00",
"US1ILCK0430","WORTH 0.3 S, IL US","2026-01-13","0.00",
"US1ILCK0430","WORTH 0.3 S, IL US","2026-01-14","0.00",
"US1ILCK0430","WORTH 0.3 S, IL US","2026-01-15","0.05",
"US1ILCK0430","WORTH 0.3 S, IL US","2026-01-16","0.03",
"US1ILCK0430","WORTH 0.3 S, IL US","2026-01-17","0.01",
"US1ILCK0430","WORTH 0.3 S, IL US","2026-01-19","0.03",
"US1ILCK0430","WORTH 0.3 S, IL US","2026-01-20","0.00",
"US1ILCK0430","WORTH 0.3 S, IL US","2026-01-21","0.00",
"US1ILCK0430","WORTH 0.3 S, IL US","2026-01-22","0.00",
"US1ILCK0430","WORTH 0.3 S, IL US","2026-01-23","0.00",
"US1ILCK0430","WORTH 0.3 S, IL US","2026-01-24","0.00",
"US1ILCK0430","WORTH 0.3 S, IL US","2026-01-25","0.08",
"US1ILCK0430","WORTH 0.3 S, IL US","2026-01-26","0.04",
"US1ILCK0430","WORTH 0.3 S, IL US","2026-01-27","0.00",
"US1ILCK0430","WORTH 0.3 S, IL US","2026-01-28","0.00",
"US1ILCK0430","WORTH 0.3 S, IL US","2026-01-30","0.00",
"US1ILCK0430","WORTH 0.3 S, IL US","2026-01-31","0.01",
"US1ILCK0430","WORTH 0.3 S, IL US","2026-02-01","0.00",
"US1ILCK0430","WORTH 0.3 S, IL US","2026-02-02","0.00",
"US1ILCK0430","WORTH 0.3 S, IL US","2026-02-03","0.00",
"US1ILCK0430","WORTH 0.3 S, IL US","2026-02-04","0.00",
"US1ILCK0430","WORTH 0.3 S, IL US","2026-02-05","0.00",
"US1ILCK0430","WORTH 0.3 S, IL US","2026-02-06","0.02",
"US1ILCK0430","WORTH 0.3 S, IL US","2026-02-07","0.00",
"US1ILCK0430","WORTH 0.3 S, IL US","2026-02-08","0.00",
"US1ILCK0430","WORTH 0.3 S, IL US","2026-02-09","0.00",
